t,phi1
0,0.0000000000
40,23.5620002746
81,47.1240005493
122,7.8539996147
163,15.7079992294
204,7.8539996147
245,7.8539996147
286,133.5179901123
327,39.2700004577
368,39.2700004577
409,7.8539996147
450,31.4159984588
491,47.1240005493
532,7.8539996147
573,15.7079992294
614,15.7079992294
655,23.5620002746
696,15.7079992294
737,117.8099899291
778,31.4159984588
819,23.5620002746
860,133.5179901123
901,31.4159984588
942,7.8539996147
983,102.1019973754
1024,54.9780006408
1065,7.8539996147
1107,15.7079992294
1148,23.5620002746
1189,109.9560012817
1230,47.1240005493
1271,15.7079992294
1312,70.6859970092
1353,102.1019973754
1394,31.4159984588
1435,7.8539996147
1476,31.4159984588
1517,23.5620002746
1558,23.5620002746
1599,47.1240005493
1640,102.1019973754
1681,31.4159984588
1722,86.3939971923
1763,188.4960021972
1804,23.5620002746
1845,23.5620002746
1886,15.7079992294
1927,23.5620002746
1968,31.4159984588
2009,31.4159984588
2050,23.5620002746
2091,117.8099899291
2132,125.6639938354
2174,62.8319969177
2216,7.8539996147
2257,15.7079992294
2298,47.1240005493
2339,39.2700004577
2380,31.4159984588
2421,70.6859970092
2462,204.2039947509
2503,31.4159984588
2544,15.7079992294
2585,15.7079992294
2626,7.8539996147
2667,109.9560012817
2708,62.8319969177
2749,31.4159984588
2790,7.8539996147
2831,39.2700004577
2872,31.4159984588
2913,62.8319969177
2954,31.4159984588
2995,23.5620002746
3036,15.7079992294
3077,149.2259979248
3118,31.4159984588
3159,7.8539996147
3200,31.4159984588
3241,31.4159984588
3283,23.5620002746
3324,7.8539996147
3365,31.4159984588
3406,164.9340057373
3447,47.1240005493
3488,15.7079992294
3529,15.7079992294
3570,15.7079992294
3611,7.8539996147
3652,125.6639938354
3693,70.6859970092
3734,39.2700004577
3775,7.8539996147
3816,47.1240005493
3857,39.2700004577
3898,7.8539996147
3939,15.7079992294
3980,7.8539996147
4021,7.8539996147
4062,7.8539996147
4103,0.0000000000
4144,15.7079992294
4185,39.2700004577
4226,7.8539996147
4267,31.4159984588
4308,117.8099899291
4350,23.5620002746
4392,39.2700004577
4433,54.9780006408
4474,15.7079992294
4515,54.9780006408
4556,15.7079992294
4597,141.3719940185
4638,23.5620002746
4679,15.7079992294
4720,39.2700004577
4761,15.7079992294
4802,7.8539996147
4843,102.1019973754
4884,23.5620002746
4925,117.8099899291
4966,31.4159984588
5007,7.8539996147
5048,102.1019973754
5089,15.7079992294
5130,15.7079992294
5171,7.8539996147
5212,7.8539996147
5253,31.4159984588
5294,23.5620002746
5335,15.7079992294
5376,62.8319969177
5417,47.1240005493
5459,15.7079992294
5500,15.7079992294
5541,7.8539996147
5582,62.8319969177
5623,117.8099899291
5664,31.4159984588
5705,7.8539996147
5746,47.1240005493
5787,47.1240005493
5828,7.8539996147
5869,7.8539996147
5910,7.8539996147
5951,15.7079992294
5992,47.1240005493
6033,31.4159984588
6074,23.5620002746
6115,70.6859970092
6156,47.1240005493
6197,0.0000000000
6238,0.0000000000
6279,0.0000000000
6320,31.4159984588
6361,15.7079992294
6402,7.8539996147
6443,7.8539996147
6484,7.8539996147
6526,7.8539996147
6568,125.6639938354
6609,141.3719940185
6650,39.2700004577
6691,15.7079992294
6732,31.4159984588
6773,39.2700004577
6814,39.2700004577
6855,31.4159984588
6896,125.6639938354
6937,94.2480010986
6978,15.7079992294
7019,54.9780006408
7060,117.8099899291
7101,23.5620002746
7142,141.3719940185
7183,31.4159984588
7224,125.6639938354
7265,39.2700004577
7306,212.0579986572
7347,31.4159984588
7388,31.4159984588
7429,109.9560012817
7470,15.7079992294
7511,94.2480010986
7552,7.8539996147
7593,133.5179901123
7635,7.8539996147
7676,125.6639938354
7717,94.2480010986
7758,23.5620002746
7799,47.1240005493
7840,15.7079992294
7881,7.8539996147
7922,15.7079992294
7963,39.2700004577
8004,23.5620002746
8045,78.5400009155
8086,23.5620002746
8127,94.2480010986
8168,23.5620002746
8209,102.1019973754
8250,15.7079992294
8291,31.4159984588
8332,31.4159984588
8373,15.7079992294
8414,39.2700004577
8455,15.7079992294
8496,62.8319969177
8537,15.7079992294
8578,62.8319969177
8619,15.7079992294
8660,47.1240005493
8702,7.8539996147
8744,23.5620002746
8785,39.2700004577
8826,15.7079992294
8867,31.4159984588
8908,15.7079992294
8949,31.4159984588
8990,31.4159984588
9031,31.4159984588
9072,23.5620002746
9113,15.7079992294
9154,31.4159984588
9195,39.2700004577
9236,23.5620002746
9277,70.6859970092
9318,15.7079992294
9359,70.6859970092
9400,23.5620002746
9441,47.1240005493
9482,23.5620002746
9523,39.2700004577
9564,15.7079992294
9605,47.1240005493
9646,15.7079992294
9687,39.2700004577
9728,23.5620002746
9769,47.1240005493
9811,62.8319969177
9852,39.2700004577
9893,86.3939971923
9934,23.5620002746
9975,102.1019973754
10016,15.7079992294
10057,70.6859970092
10098,15.7079992294
10139,47.1240005493
10180,78.5400009155
10221,31.4159984588
10262,70.6859970092
10303,15.7079992294
10344,39.2700004577
10385,15.7079992294
10426,39.2700004577
10467,15.7079992294
10508,23.5620002746
10549,47.1240005493
10590,23.5620002746
10631,23.5620002746
10672,15.7079992294
10713,15.7079992294
10754,23.5620002746
10795,7.8539996147
10836,15.7079992294
10878,78.5400009155
10920,23.5620002746
10961,109.9560012817
11002,15.7079992294
11043,102.1019973754
11084,23.5620002746
11125,102.1019973754
11166,23.5620002746
11207,7.8539996147
11248,109.9560012817
11289,31.4159984588
11330,23.5620002746
11371,78.5400009155
11412,23.5620002746
11453,31.4159984588
11494,70.6859970092
11535,15.7079992294
11576,23.5620002746
11617,39.2700004577
11658,7.8539996147
11699,31.4159984588
11740,15.7079992294
11781,31.4159984588
11822,15.7079992294
11863,23.5620002746
11904,23.5620002746
11945,62.8319969177
11987,15.7079992294
12028,31.4159984588
12069,125.6639938354
12110,39.2700004577
12151,7.8539996147
12192,31.4159984588
12233,70.6859970092
12274,23.5620002746
12315,23.5620002746
12356,31.4159984588
12397,15.7079992294
12438,47.1240005493
12479,15.7079992294
12520,23.5620002746
12561,62.8319969177
12602,15.7079992294
12643,23.5620002746
12684,54.9780006408
12725,117.8099899291
12766,15.7079992294
12807,23.5620002746
12848,39.2700004577
12889,15.7079992294
12930,7.8539996147
12971,23.5620002746
13012,62.8319969177
13054,15.7079992294
13096,125.6639938354
13137,62.8319969177
13178,23.5620002746
13219,188.4960021972
13260,15.7079992294
13301,23.5620002746
13342,62.8319969177
13383,86.3939971923
13424,31.4159984588
13465,31.4159984588
13506,78.5400009155
13547,62.8319969177
13588,23.5620002746
13629,31.4159984588
13670,180.6419982910
13711,54.9780006408
13752,23.5620002746
13793,62.8319969177
13834,78.5400009155
13875,23.5620002746
13916,54.9780006408
13957,94.2480010986
13998,86.3939971923
14039,15.7079992294
14080,31.4159984588
14121,180.6419982910
14163,78.5400009155
14204,23.5620002746
14245,39.2700004577
14286,47.1240005493
14327,23.5620002746
14368,47.1240005493
14409,125.6639938354
14450,141.3719940185
14491,23.5620002746
14532,102.1019973754
14573,149.2259979248
14614,47.1240005493
14655,54.9780006408
14696,141.3719940185
14737,23.5620002746
14778,31.4159984588
14819,47.1240005493
14860,39.2700004577
14901,117.8099899291
14942,109.9560012817
14983,78.5400009155
15024,39.2700004577
15065,54.9780006408
15106,86.3939971923
15147,47.1240005493
15188,39.2700004577
15230,109.9560012817
15272,94.2480010986
15313,70.6859970092
15354,94.2480010986
15395,94.2480010986
15436,54.9780006408
15477,31.4159984588
15518,78.5400009155
15559,172.7879943847
15600,149.2259979248
15641,117.8099899291
15682,109.9560012817
15723,31.4159984588
15764,54.9780006408
15805,54.9780006408
15846,78.5400009155
15887,31.4159984588
15928,78.5400009155
15969,172.7879943847
16010,23.5620002746
16051,54.9780006408
16092,157.0800018310
16133,54.9780006408
16174,31.4159984588
16215,31.4159984588
16256,78.5400009155
16297,157.0800018310
16339,172.7879943847
16380,78.5400009155
16421,23.5620002746
16462,23.5620002746
16503,78.5400009155
16544,125.6639938354
16585,125.6639938354
16626,23.5620002746
16667,47.1240005493
16708,78.5400009155
16749,54.9780006408
16790,23.5620002746
16831,31.4159984588
16872,54.9780006408
16913,39.2700004577
16954,15.7079992294
16995,23.5620002746
17036,54.9780006408
17077,117.8099899291
17118,39.2700004577
17159,23.5620002746
17200,23.5620002746
17241,31.4159984588
17282,54.9780006408
17323,117.8099899291
17364,70.6859970092
17406,7.8539996147
17448,23.5620002746
17489,86.3939971923
17530,204.2039947509
17571,117.8099899291
17612,15.7079992294
17653,39.2700004577
17694,31.4159984588
17735,15.7079992294
17776,78.5400009155
17817,164.9340057373
17858,31.4159984588
17899,15.7079992294
17940,15.7079992294
17981,31.4159984588
18022,15.7079992294
18063,23.5620002746
18104,39.2700004577
18145,31.4159984588
18186,47.1240005493
18227,117.8099899291
18268,157.0800018310
18309,23.5620002746
18350,15.7079992294
18391,15.7079992294
18432,15.7079992294
18473,15.7079992294
18515,15.7079992294
18556,23.5620002746
18597,7.8539996147
18638,15.7079992294
18679,23.5620002746
18720,23.5620002746
18761,23.5620002746
18802,23.5620002746
18843,23.5620002746
18884,54.9780006408
18925,62.8319969177
18966,47.1240005493
19007,15.7079992294
19048,39.2700004577
19089,15.7079992294
19130,31.4159984588
19171,47.1240005493
19212,31.4159984588
19253,15.7079992294
19294,23.5620002746
19335,86.3939971923
19376,54.9780006408
19417,39.2700004577
19458,78.5400009155
19499,164.9340057373
19540,78.5400009155
