t, phi
12028,0.0000000000
12069,23.5620002746
12110,15.7079992294
12151,15.7079992294
12192,23.5620002746
12233,23.5620002746
12274,39.2700004577
12315,23.5620002746
12356,47.1240005493
12397,31.4159984588
12438,62.8319969177
12479,47.1240005493
12520,47.1240005493
12561,31.4159984588
12602,47.1240005493
12643,54.9780006408
12684,31.4159984588
12725,47.1240005493
12766,39.2700004577
12807,39.2700004577
12848,47.1240005493
12889,47.1240005493
12930,47.1240005493
12971,62.8319969177
13012,47.1240005493
13054,47.1240005493
13096,47.1240005493
13137,62.8319969177
13178,54.9780006408
13219,39.2700004577
13260,54.9780006408
13301,54.9780006408
13342,39.2700004577
13383,54.9780006408
13424,62.8319969177
13465,62.8319969177
13506,54.9780006408
13547,39.2700004577
13588,70.6859970092
13629,62.8319969177
13670,54.9780006408
13711,39.2700004577
13752,47.1240005493
13793,39.2700004577
13834,47.1240005493
13875,54.9780006408
13916,47.1240005493
13957,70.6859970092
13998,54.9780006408
14039,54.9780006408
14080,47.1240005493
14121,54.9780006408
14163,54.9780006408
14204,62.8319969177
14245,54.9780006408
14286,62.8319969177
14327,47.1240005493
14368,62.8319969177
14409,47.1240005493
14450,54.9780006408
14491,62.8319969177
14532,54.9780006408
14573,54.9780006408
14614,54.9780006408
14655,62.8319969177
14696,47.1240005493
14737,47.1240005493
14778,47.1240005493
14819,54.9780006408
14860,70.6859970092
14901,54.9780006408
14942,54.9780006408
14983,47.1240005493
15024,54.9780006408
15065,39.2700004577
15106,54.9780006408
15147,62.8319969177
15188,62.8319969177
15230,47.1240005493
15272,39.2700004577
15313,47.1240005493
15354,62.8319969177
15395,39.2700004577
15436,47.1240005493
15477,54.9780006408
15518,54.9780006408
15559,54.9780006408
15600,54.9780006408
15641,62.8319969177
15682,54.9780006408
15723,39.2700004577
15764,39.2700004577
15805,54.9780006408
15846,54.9780006408
15887,47.1240005493
15928,54.9780006408
15969,47.1240005493
16010,54.9780006408
16051,54.9780006408
16092,47.1240005493
16133,54.9780006408
16174,62.8319969177
16215,47.1240005493
16256,54.9780006408
16297,39.2700004577
16339,54.9780006408
16380,54.9780006408
16421,39.2700004577
16462,54.9780006408
16503,54.9780006408
16544,54.9780006408
16585,62.8319969177
16626,54.9780006408
16667,54.9780006408
16708,31.4159984588
16749,62.8319969177
16790,47.1240005493
16831,39.2700004577
16872,47.1240005493
16913,54.9780006408
16954,54.9780006408
16995,47.1240005493
17036,31.4159984588
17077,47.1240005493
17118,39.2700004577
17159,54.9780006408
17200,54.9780006408
17241,62.8319969177
17282,62.8319969177
17323,54.9780006408
17364,62.8319969177
17406,39.2700004577
17448,54.9780006408
17489,62.8319969177
17530,54.9780006408
17571,62.8319969177
17612,47.1240005493
17653,54.9780006408
17694,47.1240005493
17735,62.8319969177
17776,54.9780006408
17817,54.9780006408
17858,39.2700004577
17899,47.1240005493
17940,39.2700004577
17981,39.2700004577
18022,62.8319969177
18063,47.1240005493
18104,54.9780006408
18145,39.2700004577
18186,47.1240005493
18227,39.2700004577
18268,47.1240005493
18309,54.9780006408
18350,31.4159984588
18391,39.2700004577
18432,47.1240005493
18473,39.2700004577
18515,47.1240005493
18556,39.2700004577
18597,62.8319969177
18638,54.9780006408
18679,54.9780006408
18720,47.1240005493
18761,47.1240005493
18802,47.1240005493
18843,54.9780006408
18884,47.1240005493
18925,31.4159984588
18966,54.9780006408
19007,54.9780006408
19048,47.1240005493
19089,47.1240005493
19130,62.8319969177
19171,54.9780006408
19212,54.9780006408
19253,54.9780006408
19294,54.9780006408
19335,47.1240005493
19376,47.1240005493
19417,54.9780006408
19458,39.2700004577
19499,31.4159984588
19540,47.1240005493
19582,62.8319969177
19624,54.9780006408
19665,54.9780006408
19706,54.9780006408
19747,39.2700004577
19788,39.2700004577
19829,54.9780006408
19870,39.2700004577
19911,31.4159984588
19952,62.8319969177
19993,39.2700004577
20034,47.1240005493
20075,31.4159984588
20116,47.1240005493
20157,47.1240005493
20198,47.1240005493
20239,54.9780006408
20280,62.8319969177
20321,54.9780006408
20362,39.2700004577
20403,54.9780006408
20444,62.8319969177
20485,47.1240005493
20526,62.8319969177
20567,39.2700004577
20608,62.8319969177
20649,54.9780006408
20691,39.2700004577
20732,54.9780006408
20773,31.4159984588
20814,47.1240005493
20855,62.8319969177
20896,54.9780006408
20937,54.9780006408
20978,47.1240005493
21019,47.1240005493
21060,31.4159984588
21101,62.8319969177
21142,47.1240005493
21183,39.2700004577
21224,62.8319969177
21265,39.2700004577
21306,47.1240005493
21347,54.9780006408
21388,54.9780006408
21429,47.1240005493
21470,54.9780006408
21511,47.1240005493
21552,54.9780006408
21593,47.1240005493
21634,39.2700004577
21675,47.1240005493
21716,47.1240005493
21758,47.1240005493
21800,54.9780006408
21841,62.8319969177
21882,54.9780006408
21923,47.1240005493
21964,31.4159984588
22005,47.1240005493
22046,47.1240005493
22087,54.9780006408
22128,47.1240005493
22169,47.1240005493
22210,54.9780006408
22251,23.5620002746
22292,47.1240005493
22333,31.4159984588
22374,47.1240005493
22415,47.1240005493
22456,47.1240005493
22497,47.1240005493
22538,54.9780006408
22579,62.8319969177
22620,47.1240005493
22661,54.9780006408
22702,39.2700004577
22743,39.2700004577
22784,47.1240005493
22825,39.2700004577
22867,47.1240005493
22908,47.1240005493
22949,62.8319969177
22990,54.9780006408
23031,47.1240005493
23072,47.1240005493
23113,39.2700004577
23154,31.4159984588
23195,47.1240005493
23236,47.1240005493
23277,54.9780006408
23318,62.8319969177
23359,62.8319969177
23400,39.2700004577
23441,54.9780006408
23482,39.2700004577
23523,39.2700004577
23564,39.2700004577
23605,47.1240005493
23646,54.9780006408
23687,62.8319969177
23728,54.9780006408
23769,54.9780006408
23810,47.1240005493
23851,54.9780006408
23892,54.9780006408
23934,47.1240005493
23976,47.1240005493
24017,47.1240005493
24058,62.8319969177
24099,54.9780006408
24140,39.2700004577
24181,54.9780006408
24222,39.2700004577
24263,62.8319969177
24304,54.9780006408
24345,54.9780006408
24386,39.2700004577
24427,54.9780006408
24468,39.2700004577
24509,54.9780006408
24550,54.9780006408
24591,54.9780006408
24632,39.2700004577
24673,39.2700004577
24714,31.4159984588
24755,31.4159984588
24796,47.1240005493
24837,39.2700004577
24878,54.9780006408
24919,62.8319969177
24960,39.2700004577
25001,47.1240005493
25043,54.9780006408
25084,47.1240005493
25125,31.4159984588
25166,54.9780006408
25207,62.8319969177
25248,62.8319969177
25289,39.2700004577
25330,31.4159984588
25371,39.2700004577
25412,39.2700004577
25453,54.9780006408
25494,54.9780006408
25535,39.2700004577
25576,54.9780006408
25617,31.4159984588
25658,47.1240005493
25699,54.9780006408
25740,47.1240005493
25781,39.2700004577
25822,31.4159984588
25863,47.1240005493
25904,62.8319969177
25945,47.1240005493
25986,54.9780006408
26027,47.1240005493
26068,62.8319969177
26110,54.9780006408
26152,39.2700004577
26193,39.2700004577
26234,47.1240005493
26275,62.8319969177
26316,54.9780006408
26357,47.1240005493
26398,47.1240005493
26439,47.1240005493
26480,54.9780006408
26521,31.4159984588
26562,47.1240005493
26603,39.2700004577
26644,31.4159984588
26685,39.2700004577
26726,23.5620002746
26767,15.7079992294
26808,15.7079992294
26849,15.7079992294
26890,15.7079992294
