t,phi
7224,0.0000000000
7265,62.8319969177
7306,15.7079992294
7347,15.7079992294
7388,31.4159984588
7429,23.5620002746
7470,31.4159984588
7511,31.4159984588
7552,54.9780006408
7593,15.7079992294
7635,54.9780006408
7676,39.2700004577
7717,39.2700004577
7758,54.9780006408
7799,39.2700004577
7840,54.9780006408
7881,39.2700004577
7922,47.1240005493
7963,54.9780006408
8004,54.9780006408
8045,39.2700004577
8086,54.9780006408
8127,39.2700004577
8168,54.9780006408
8209,39.2700004577
8250,54.9780006408
8291,47.1240005493
8332,54.9780006408
8373,54.9780006408
8414,47.1240005493
8455,54.9780006408
8496,54.9780006408
8537,62.8319969177
8578,47.1240005493
8619,62.8319969177
8660,47.1240005493
8702,54.9780006408
8744,54.9780006408
8785,47.1240005493
8826,62.8319969177
8867,54.9780006408
8908,39.2700004577
8949,54.9780006408
8990,39.2700004577
9031,54.9780006408
9072,54.9780006408
9113,78.5400009155
9154,47.1240005493
9195,54.9780006408
9236,54.9780006408
9277,54.9780006408
9318,54.9780006408
9359,62.8319969177
9400,47.1240005493
9441,54.9780006408
9482,47.1240005493
9523,54.9780006408
9564,62.8319969177
9605,47.1240005493
9646,54.9780006408
9687,62.8319969177
9728,54.9780006408
9769,47.1240005493
9811,47.1240005493
9852,39.2700004577
9893,54.9780006408
9934,70.6859970092
9975,39.2700004577
10016,47.1240005493
10057,47.1240005493
10098,62.8319969177
10139,54.9780006408
10180,47.1240005493
10221,39.2700004577
10262,47.1240005493
10303,62.8319969177
10344,47.1240005493
10385,54.9780006408
10426,54.9780006408
10467,47.1240005493
10508,62.8319969177
10549,54.9780006408
10590,54.9780006408
10631,47.1240005493
10672,54.9780006408
10713,47.1240005493
10754,54.9780006408
10795,62.8319969177
10836,39.2700004577
10878,47.1240005493
10920,54.9780006408
10961,47.1240005493
11002,54.9780006408
11043,47.1240005493
11084,54.9780006408
11125,70.6859970092
11166,54.9780006408
11207,54.9780006408
11248,47.1240005493
11289,54.9780006408
11330,47.1240005493
11371,54.9780006408
11412,39.2700004577
11453,15.7079992294
11494,39.2700004577
11535,39.2700004577
11576,54.9780006408
11617,54.9780006408
11658,54.9780006408
11699,54.9780006408
11740,47.1240005493
11781,54.9780006408
11822,39.2700004577
11863,47.1240005493
11904,47.1240005493
11945,47.1240005493
11987,47.1240005493
12028,62.8319969177
12069,47.1240005493
12110,54.9780006408
12151,54.9780006408
12192,47.1240005493
12233,39.2700004577
12274,47.1240005493
12315,39.2700004577
12356,47.1240005493
12397,54.9780006408
12438,54.9780006408
12479,39.2700004577
12520,39.2700004577
12561,47.1240005493
12602,47.1240005493
12643,62.8319969177
12684,47.1240005493
12725,47.1240005493
12766,54.9780006408
12807,47.1240005493
12848,39.2700004577
12889,47.1240005493
12930,47.1240005493
12971,54.9780006408
13012,47.1240005493
13054,54.9780006408
13096,47.1240005493
13137,62.8319969177
13178,54.9780006408
13219,47.1240005493
13260,54.9780006408
13301,54.9780006408
13342,39.2700004577
13383,54.9780006408
13424,47.1240005493
13465,31.4159984588
13506,54.9780006408
13547,47.1240005493
13588,47.1240005493
13629,47.1240005493
13670,47.1240005493
13711,54.9780006408
13752,39.2700004577
13793,62.8319969177
13834,39.2700004577
13875,47.1240005493
13916,54.9780006408
13957,47.1240005493
13998,54.9780006408
14039,47.1240005493
14080,54.9780006408
14121,47.1240005493
14163,39.2700004577
14204,47.1240005493
14245,54.9780006408
14286,47.1240005493
14327,39.2700004577
14368,47.1240005493
14409,62.8319969177
14450,47.1240005493
14491,62.8319969177
14532,47.1240005493
14573,62.8319969177
14614,39.2700004577
14655,47.1240005493
14696,54.9780006408
14737,47.1240005493
14778,47.1240005493
14819,54.9780006408
14860,47.1240005493
14901,54.9780006408
14942,54.9780006408
14983,62.8319969177
15024,54.9780006408
15065,39.2700004577
15106,47.1240005493
15147,47.1240005493
15188,54.9780006408
15230,54.9780006408
15272,62.8319969177
15313,54.9780006408
15354,39.2700004577
15395,39.2700004577
15436,47.1240005493
15477,39.2700004577
15518,39.2700004577
15559,54.9780006408
15600,54.9780006408
15641,47.1240005493
15682,39.2700004577
15723,47.1240005493
15764,39.2700004577
15805,47.1240005493
15846,47.1240005493
15887,39.2700004577
15928,47.1240005493
15969,39.2700004577
16010,39.2700004577
16051,62.8319969177
16092,39.2700004577
16133,47.1240005493
16174,54.9780006408
16215,47.1240005493
16256,54.9780006408
16297,47.1240005493
16339,47.1240005493
16380,62.8319969177
16421,39.2700004577
16462,47.1240005493
16503,47.1240005493
16544,54.9780006408
16585,39.2700004577
16626,47.1240005493
16667,54.9780006408
16708,39.2700004577
16749,54.9780006408
16790,47.1240005493
16831,54.9780006408
16872,54.9780006408
16913,62.8319969177
16954,47.1240005493
16995,47.1240005493
17036,39.2700004577
17077,62.8319969177
17118,54.9780006408
17159,47.1240005493
17200,31.4159984588
