t,phi
6650,0
6691,15.7079992294
6732,15.7079992294
6773,15.7079992294
6814,31.4159984588
6855,23.5620002746
6896,23.5620002746
6937,23.5620002746
6978,47.1240005493
7019,39.2700004577
7060,39.2700004577
7101,31.4159984588
7142,47.1240005493
7183,54.9780006408
7224,31.4159984588
7265,54.9780006408
7306,39.2700004577
7347,54.9780006408
7388,47.1240005493
7429,47.1240005493
7470,54.9780006408
7511,70.6859970092
7552,62.8319969177
7593,39.2700004577
7635,54.9780006408
7676,47.1240005493
7717,54.9780006408
7758,54.9780006408
7799,54.9780006408
7840,54.9780006408
7881,62.8319969177
7922,31.4159984588
7963,54.9780006408
8004,62.8319969177
8045,62.8319969177
8086,62.8319969177
8127,62.8319969177
8168,39.2700004577
8209,54.9780006408
8250,54.9780006408
8291,39.2700004577
8332,54.9780006408
8373,54.9780006408
8414,39.2700004577
8455,54.9780006408
8496,54.9780006408
8537,62.8319969177
8578,54.9780006408
8619,47.1240005493
8660,47.1240005493
8702,39.2700004577
8744,70.6859970092
8785,47.1240005493
8826,47.1240005493
8867,39.2700004577
8908,47.1240005493
8949,54.9780006408
8990,47.1240005493
9031,47.1240005493
9072,39.2700004577
9113,54.9780006408
9154,54.9780006408
9195,70.6859970092
9236,47.1240005493
9277,54.9780006408
9318,54.9780006408
9359,39.2700004577
9400,54.9780006408
9441,70.6859970092
9482,54.9780006408
9523,47.1240005493
9564,54.9780006408
9605,39.2700004577
9646,78.5400009155
9687,54.9780006408
9728,62.8319969177
9769,47.1240005493
9811,62.8319969177
9852,70.6859970092
9893,39.2700004577
9934,54.9780006408
9975,54.9780006408
10016,54.9780006408
10057,54.9780006408
10098,47.1240005493
10139,62.8319969177
10180,39.2700004577
10221,47.1240005493
10262,62.8319969177
10303,47.1240005493
10344,62.8319969177
10385,39.2700004577
10426,39.2700004577
10467,70.6859970092
10508,39.2700004577
10549,54.9780006408
10590,62.8319969177
10631,47.1240005493
10672,54.9780006408
10713,54.9780006408
10754,47.1240005493
10795,54.9780006408
10836,54.9780006408
10878,47.1240005493
10920,54.9780006408
10961,54.9780006408
11002,54.9780006408
11043,47.1240005493
11084,54.9780006408
11125,47.1240005493
11166,47.1240005493
11207,70.6859970092
11248,47.1240005493
11289,54.9780006408
11330,47.1240005493
11371,62.8319969177
11412,62.8319969177
11453,62.8319969177
11494,54.9780006408
11535,47.1240005493
11576,62.8319969177
11617,54.9780006408
11658,47.1240005493
11699,62.8319969177
11740,54.9780006408
11781,54.9780006408
11822,47.1240005493
11863,47.1240005493
11904,47.1240005493
11945,47.1240005493
11987,47.1240005493
12028,47.1240005493
12069,70.6859970092
12110,47.1240005493
12151,39.2700004577
12192,39.2700004577
12233,47.1240005493
12274,47.1240005493
12315,47.1240005493
12356,62.8319969177
12397,54.9780006408
12438,39.2700004577
12479,54.9780006408
12520,39.2700004577
12561,62.8319969177
12602,62.8319969177
12643,54.9780006408
12684,47.1240005493
12725,54.9780006408
12766,62.8319969177
12807,54.9780006408
12848,47.1240005493
12889,47.1240005493
12930,54.9780006408
12971,54.9780006408
13012,54.9780006408
13054,47.1240005493
13096,47.1240005493
13137,39.2700004577
13178,70.6859970092
13219,39.2700004577
13260,54.9780006408
13301,54.9780006408
13342,39.2700004577
13383,47.1240005493
13424,39.2700004577
13465,54.9780006408
13506,54.9780006408
13547,54.9780006408
13588,54.9780006408
13629,47.1240005493
13670,47.1240005493
13711,54.9780006408
13752,54.9780006408
13793,54.9780006408
13834,54.9780006408
13875,54.9780006408
13916,47.1240005493
13957,39.2700004577
13998,54.9780006408
14039,62.8319969177
14080,39.2700004577
14121,54.9780006408
14163,47.1240005493
14204,54.9780006408
14245,47.1240005493
14286,31.4159984588
14327,39.2700004577
14368,47.1240005493
14409,54.9780006408
14450,39.2700004577
14491,47.1240005493
14532,54.9780006408
14573,47.1240005493
14614,47.1240005493
14655,47.1240005493
14696,62.8319969177
14737,39.2700004577
14778,47.1240005493
14819,39.2700004577
14860,54.9780006408
14901,47.1240005493
14942,47.1240005493
14983,54.9780006408
15024,47.1240005493
15065,47.1240005493
15106,54.9780006408
15147,47.1240005493
15188,62.8319969177
15230,54.9780006408
15272,54.9780006408
15313,39.2700004577
15354,47.1240005493
15395,47.1240005493
15436,31.4159984588
15477,39.2700004577
15518,47.1240005493
15559,39.2700004577
15600,54.9780006408
15641,54.9780006408
15682,54.9780006408
15723,54.9780006408
15764,62.8319969177
15805,54.9780006408
15846,54.9780006408
15887,47.1240005493
15928,39.2700004577
15969,54.9780006408
16010,54.9780006408
16051,39.2700004577
16092,47.1240005493
16133,39.2700004577
16174,47.1240005493
16215,47.1240005493
16256,54.9780006408
16297,54.9780006408
16339,54.9780006408
16380,54.9780006408
16421,47.1240005493
16462,54.9780006408
16503,47.1240005493
16544,39.2700004577
16585,47.1240005493
16626,47.1240005493
16667,39.2700004577
16708,39.2700004577
16749,39.2700004577
16790,47.1240005493
16831,39.2700004577
16872,39.2700004577
16913,54.9780006408
16954,47.1240005493
16995,39.2700004577
17036,39.2700004577
17077,47.1240005493
17118,31.4159984588
17159,39.2700004577
17200,47.1240005493
17241,47.1240005493
17282,39.2700004577
17323,47.1240005493
17364,47.1240005493
17406,47.1240005493
17448,39.2700004577
17489,47.1240005493
17530,62.8319969177
17571,54.9780006408
17612,54.9780006408
17653,39.2700004577
17694,62.8319969177
17735,47.1240005493
17776,54.9780006408
