t,phi
0,0
500,23.8761596679
1001,23.2478389739
1502,21.3628787994
2003,23.2478389739
2504,20.7345600128
3005,18.8495998382
3506,22.6195182800
4007,21.3628787994
4508,17.5929584503
5009,19.4779186248
5510,27.6460800170
6011,23.8761596679
6512,24.5044803619
7014,25.6982860565
7515,23.2478389739
8016,23.8761596679
8517,25.7611179351
9019,23.1640625000
9520,21.9911994934
10021,22.6195182800
10522,23.2478389739
11024,23.1850051879
11525,22.6195182800
12026,23.2478389739
12527,23.8761596679
13028,22.6195182800
13529,23.8761596679
14030,24.5044803619
14531,23.2478389739
15032,22.6195182800
15533,21.9911994934
16034,25.1327991485
16536,21.2791042327
17037,24.5044803619
17538,22.6195182800
18039,21.9911994934
18541,21.8864784240
19042,21.3628787994
19543,28.9027175903
20044,22.6195182800
20546,30.4525737762
21047,23.8761596679
21548,26.3894386291
22049,27.6460800170
22550,21.9911994934
23051,23.2478389739
23552,20.7345600128
24053,28.9027175903
24554,23.8761596679
25055,20.7345600128
25556,26.3894386291
26058,21.9911994934
26559,23.2478389739
27060,16.3363189697
27561,22.6195182800
28063,24.5044803619
28564,27.0177593231
29065,20.1062393188
29566,23.8761596679
30068,27.6460800170
30569,26.3894386291
31070,25.1327991485
31571,25.1327991485

