t,phi
50,0.0000000000
101,0.0000000000
152,18.8495998382
203,25.1327991485
254,37.6991996765
306,37.6991996765
357,31.4159984588
408,50.2655982971
459,56.5488014221
510,62.8319969177
562,43.9823989868
613,43.9823989868
664,69.1151962280
715,50.2655982971
766,62.8319969177
818,43.9823989868
869,56.5488014221
920,62.8319969177
971,56.5488014221
1022,50.2655982971
1074,43.9823989868
1125,56.5488014221
1176,43.9823989868
1227,62.8319969177
1278,31.4159984588
1330,69.1151962280
1381,50.2655982971
1432,56.5488014221
1483,43.9823989868
1534,50.2655982971
1586,56.5488014221
1637,56.5488014221
1688,50.2655982971
1739,56.5488014221
1790,43.9823989868
1842,56.5488014221
1893,56.5488014221
1944,56.5488014221
1995,43.9823989868
2046,62.8319969177
2098,43.9823989868
2149,56.5488014221
2200,56.5488014221
2251,62.8319969177
2302,50.2655982971
2354,56.5488014221
2405,43.9823989868
2456,56.5488014221
2507,56.5488014221
2558,69.1151962280
2610,50.2655982971
2661,50.2655982971
2712,43.9823989868
2763,69.1151962280
2814,43.9823989868
2866,62.8319969177
2917,37.6991996765
2968,62.8319969177
3019,43.9823989868
3070,62.8319969177
3122,37.6991996765
3173,69.1151962280
3224,43.9823989868
3275,69.1151962280
3326,50.2655982971
3378,56.5488014221
3429,50.2655982971
3480,56.5488014221
3531,43.9823989868
3582,56.5488014221
3634,43.9823989868
3685,62.8319969177
3736,43.9823989868
3787,56.5488014221
3838,56.5488014221
3890,43.9823989868
3941,56.5488014221
3992,56.5488014221
4043,56.5488014221
4094,50.2655982971
4146,62.8319969177
4197,43.9823989868
4248,62.8319969177
4299,62.8319969177
4350,50.2655982971
4402,50.2655982971
4453,56.5488014221
4504,62.8319969177
4555,56.5488014221
4606,62.8319969177
4658,62.8319969177
4709,62.8319969177
4760,56.5488014221
4811,56.5488014221
4862,50.2655982971
4914,50.2655982971
4965,56.5488014221
5016,50.2655982971
5067,56.5488014221
5118,56.5488014221
5170,62.8319969177
5221,56.5488014221
5272,56.5488014221
5323,50.2655982971
5374,62.8319969177
5426,50.2655982971
5477,56.5488014221
5528,50.2655982971
5579,56.5488014221
5630,43.9823989868
5682,62.8319969177
5733,43.9823989868
5784,62.8319969177
5835,50.2655982971
5886,69.1151962280
5938,43.9823989868
5989,69.1151962280
6040,43.9823989868
6091,62.8319969177
6142,37.6991996765
6194,62.8319969177
6245,43.9823989868
6296,62.8319969177
6347,37.6991996765
6398,62.8319969177
6450,50.2655982971
6501,62.8319969177
6552,62.8319969177
6603,56.5488014221
6654,56.5488014221
6706,56.5488014221
6757,56.5488014221
6808,50.2655982971
6859,56.5488014221
6910,50.2655982971
6962,69.1151962280

