t,phi
101,0.0000000000
152,25.1327991485
203,25.1327991485
254,31.4159984588
306,37.6991996765
357,43.9823989868
408,50.2655982971
459,50.2655982971
510,43.9823989868
562,50.2655982971
613,56.5488014221
664,43.9823989868
715,56.5488014221
766,50.2655982971
818,56.5488014221
869,56.5488014221
920,56.5488014221
971,56.5488014221
1022,56.5488014221
1074,62.8319969177
1125,56.5488014221
1176,56.5488014221
1227,56.5488014221
1278,56.5488014221
1330,75.3983993530
1381,50.2655982971
1432,62.8319969177
1483,50.2655982971
1534,69.1151962280
1586,62.8319969177
1637,62.8319969177
1688,56.5488014221
1739,56.5488014221
1790,56.5488014221
1842,50.2655982971
1893,62.8319969177
1944,50.2655982971
1995,62.8319969177
2046,56.5488014221
2098,50.2655982971
2149,56.5488014221
2200,50.2655982971
2251,50.2655982971
2302,56.5488014221
2354,56.5488014221
2405,50.2655982971
2456,62.8319969177
2507,62.8319969177
2558,50.2655982971
2610,62.8319969177
2661,50.2655982971
2712,56.5488014221
2763,50.2655982971
2814,69.1151962280
2866,43.9823989868
2917,62.8319969177
2968,56.5488014221
3019,62.8319969177
3070,56.5488014221
3122,56.5488014221
3173,62.8319969177
3224,43.9823989868
3275,69.1151962280
3326,50.2655982971
3378,62.8319969177
3429,56.5488014221
3480,56.5488014221
3531,62.8319969177
3582,50.2655982971
3634,69.1151962280
3685,37.6991996765
3736,62.8319969177
3787,62.8319969177
3838,50.2655982971
3890,62.8319969177
3941,62.8319969177
3992,62.8319969177
4043,37.6991996765
4094,62.8319969177
4146,56.5488014221
4197,50.2655982971
4248,56.5488014221
4299,56.5488014221
4350,62.8319969177
4402,37.6991996765
4453,75.3983993530
4504,50.2655982971
4555,56.5488014221
4606,50.2655982971
4658,50.2655982971
4709,56.5488014221
4760,43.9823989868
4811,69.1151962280
4862,37.6991996765
4914,69.1151962280
4965,56.5488014221
5016,56.5488014221
5067,56.5488014221
5118,50.2655982971
5170,62.8319969177
5221,37.6991996765
5272,62.8319969177
5323,37.6991996765
5374,50.2655982971
5426,62.8319969177
5477,56.5488014221
5528,56.5488014221
5579,50.2655982971
5630,69.1151962280
5682,37.6991996765
5733,75.3983993530
5784,50.2655982971
5835,69.1151962280
5886,56.5488014221
5938,43.9823989868
5989,69.1151962280
6040,50.2655982971
6091,62.8319969177
6142,37.6991996765
6194,62.8319969177
6245,56.5488014221
6296,56.5488014221
6347,50.2655982971
6398,43.9823989868
6450,69.1151962280
6501,31.4159984588
6552,56.5488014221
6603,56.5488014221
6654,56.5488014221
6706,50.2655982971
6757,62.8319969177
6808,75.3983993530
6859,43.9823989868
6910,69.1151962280
6962,50.2655982971
7013,69.1151962280
7064,62.8319969177
7115,43.9823989868
7166,62.8319969177
7218,43.9823989868
7269,69.1151962280
7320,56.5488014221
7371,56.5488014221
7422,50.2655982971
7474,56.5488014221
7525,50.2655982971
7576,43.9823989868
7627,69.1151962280
7678,56.5488014221
7730,43.9823989868
7781,56.5488014221
7832,56.5488014221
7883,62.8319969177
7934,56.5488014221
7986,69.1151962280
8037,50.2655982971
8088,56.5488014221
8139,50.2655982971
8190,50.2655982971
8242,56.5488014221
8293,50.2655982971
8344,75.3983993530
8395,62.8319969177
8446,50.2655982971
8498,62.8319969177
8549,56.5488014221
8600,56.5488014221
8651,50.2655982971
8702,69.1151962280
8754,56.5488014221
8805,50.2655982971
8856,56.5488014221
8907,50.2655982971
8958,69.1151962280
9010,50.2655982971
9061,56.5488014221
9112,62.8319969177
9163,43.9823989868
9214,62.8319969177
9266,56.5488014221
9317,69.1151962280
9368,62.8319969177
9419,56.5488014221
9470,56.5488014221
9522,50.2655982971
9573,69.1151962280
9624,37.6991996765
9675,62.8319969177
9726,56.5488014221
9778,50.2655982971
9829,50.2655982971
9880,43.9823989868
9931,62.8319969177
9982,50.2655982971
10034,56.5488014221
10085,62.8319969177
10136,56.5488014221
10187,62.8319969177
10238,31.4159984588
10290,56.5488014221
10341,50.2655982971
10392,56.5488014221
10443,62.8319969177
10494,37.6991996765
10546,69.1151962280
10597,56.5488014221
10648,56.5488014221
10699,62.8319969177
10750,43.9823989868
10802,62.8319969177
10853,43.9823989868
10904,69.1151962280
10955,50.2655982971
11006,50.2655982971
11058,56.5488014221
11109,50.2655982971
