t,phi
10180,0.0000000000
10221,31.4159984588
10262,15.7079992294
10303,31.4159984588
10344,47.1240005493
10385,31.4159984588
10426,39.2700004577
10467,47.1240005493
10508,39.2700004577
10549,47.1240005493
10590,39.2700004577
10631,62.8319969177
10672,62.8319969177
10713,54.9780006408
10754,39.2700004577
10795,47.1240005493
10836,47.1240005493
10878,54.9780006408
10920,62.8319969177
10961,62.8319969177
11002,47.1240005493
11043,62.8319969177
11084,39.2700004577
11125,62.8319969177
11166,70.6859970092
11207,54.9780006408
11248,54.9780006408
11289,62.8319969177
11330,62.8319969177
11371,47.1240005493
11412,62.8319969177
11453,47.1240005493
11494,54.9780006408
11535,47.1240005493
11576,62.8319969177
11617,47.1240005493
11658,47.1240005493
11699,47.1240005493
11740,62.8319969177
11781,31.4159984588
11822,62.8319969177
11863,54.9780006408
11904,70.6859970092
11945,70.6859970092
11987,47.1240005493
12028,47.1240005493
12069,62.8319969177
12110,47.1240005493
12151,54.9780006408
12192,39.2700004577
12233,39.2700004577
12274,54.9780006408
12315,78.5400009155
12356,39.2700004577
12397,47.1240005493
12438,62.8319969177
12479,62.8319969177
12520,54.9780006408
12561,47.1240005493
12602,47.1240005493
12643,70.6859970092
12684,54.9780006408
12725,47.1240005493
12766,47.1240005493
12807,78.5400009155
12848,39.2700004577
12889,47.1240005493
12930,47.1240005493
12971,54.9780006408
13012,47.1240005493
13054,47.1240005493
13096,62.8319969177
13137,54.9780006408
13178,47.1240005493
13219,62.8319969177
13260,62.8319969177
13301,54.9780006408
13342,54.9780006408
13383,62.8319969177
13424,47.1240005493
13465,47.1240005493
13506,70.6859970092
13547,47.1240005493
13588,47.1240005493
13629,62.8319969177
13670,54.9780006408
13711,54.9780006408
13752,54.9780006408
13793,62.8319969177
13834,54.9780006408
13875,54.9780006408
13916,54.9780006408
13957,54.9780006408
13998,62.8319969177
14039,54.9780006408
14080,62.8319969177
14121,62.8319969177
14163,54.9780006408
14204,62.8319969177
14245,62.8319969177
14286,47.1240005493
14327,54.9780006408
14368,70.6859970092
14409,47.1240005493
14450,54.9780006408
14491,62.8319969177
14532,39.2700004577
14573,54.9780006408
14614,54.9780006408
14655,54.9780006408
14696,54.9780006408
14737,54.9780006408
14778,47.1240005493
14819,47.1240005493
14860,54.9780006408
14901,54.9780006408
14942,54.9780006408
14983,47.1240005493
15024,70.6859970092
15065,62.8319969177
15106,47.1240005493
15147,54.9780006408
15188,54.9780006408
15230,39.2700004577
15272,54.9780006408
15313,54.9780006408
15354,62.8319969177
15395,54.9780006408
15436,31.4159984588
15477,39.2700004577
15518,54.9780006408
15559,54.9780006408
15600,47.1240005493
15641,54.9780006408
15682,62.8319969177
15723,54.9780006408
15764,62.8319969177
15805,39.2700004577
15846,54.9780006408
15887,54.9780006408
15928,54.9780006408
15969,47.1240005493
16010,47.1240005493
16051,54.9780006408
16092,47.1240005493
16133,54.9780006408
16174,47.1240005493
16215,47.1240005493
16256,39.2700004577
16297,47.1240005493
16339,47.1240005493
16380,31.4159984588
16421,39.2700004577
16462,39.2700004577
16503,47.1240005493
16544,39.2700004577
16585,47.1240005493
16626,62.8319969177
16667,47.1240005493
16708,47.1240005493
16749,62.8319969177
16790,54.9780006408
16831,39.2700004577
16872,54.9780006408
16913,47.1240005493
16954,39.2700004577
16995,47.1240005493
17036,47.1240005493
17077,47.1240005493
17118,54.9780006408
17159,47.1240005493
17200,47.1240005493
17241,54.9780006408
17282,62.8319969177
17323,54.9780006408
17364,47.1240005493
17406,54.9780006408
17448,54.9780006408
17489,47.1240005493
17530,54.9780006408
17571,54.9780006408
17612,39.2700004577
17653,47.1240005493
17694,31.4159984588
17735,54.9780006408
17776,54.9780006408
17817,31.4159984588
17858,54.9780006408
17899,62.8319969177
17940,23.5620002746
17981,47.1240005493
18022,47.1240005493
18063,54.9780006408
18104,31.4159984588
18145,39.2700004577
18186,62.8319969177
18227,62.8319969177
18268,47.1240005493
18309,47.1240005493
18350,47.1240005493
18391,54.9780006408
18432,47.1240005493
18473,54.9780006408
18515,47.1240005493
18556,54.9780006408
18597,54.9780006408
18638,47.1240005493
18679,54.9780006408
18720,47.1240005493
18761,39.2700004577
18802,47.1240005493
18843,47.1240005493
18884,39.2700004577
18925,54.9780006408
18966,39.2700004577
19007,47.1240005493
19048,54.9780006408
19089,54.9780006408
19130,39.2700004577
19171,47.1240005493
19212,54.9780006408
19253,47.1240005493
19294,47.1240005493
19335,39.2700004577
19376,47.1240005493
19417,31.4159984588
19458,47.1240005493
19499,39.2700004577
19540,47.1240005493
19582,54.9780006408
19624,54.9780006408
19665,62.8319969177
19706,47.1240005493
19747,54.9780006408
19788,31.4159984588
19829,54.9780006408
19870,62.8319969177
19911,47.1240005493
19952,31.4159984588
19993,39.2700004577
20034,47.1240005493
20075,54.9780006408
20116,62.8319969177
20157,47.1240005493
20198,54.9780006408
20239,39.2700004577
20280,31.4159984588
20321,39.2700004577
20362,47.1240005493
20403,54.9780006408
20444,31.4159984588
20485,54.9780006408
20526,54.9780006408
20567,47.1240005493
20608,47.1240005493
20649,39.2700004577
20691,47.1240005493
20732,47.1240005493
20773,31.4159984588
20814,47.1240005493
20855,54.9780006408
20896,54.9780006408
20937,39.2700004577
20978,54.9780006408
21019,39.2700004577
21060,31.4159984588
21101,54.9780006408
21142,47.1240005493
21183,47.1240005493
21224,39.2700004577
21265,54.9780006408
21306,31.4159984588
21347,39.2700004577
21388,62.8319969177
21429,39.2700004577
21470,47.1240005493
21511,62.8319969177
21552,39.2700004577
21593,54.9780006408
21634,47.1240005493
21675,62.8319969177
21716,47.1240005493
21758,54.9780006408
21800,54.9780006408
21841,31.4159984588
21882,39.2700004577
21923,62.8319969177
21964,54.9780006408
22005,54.9780006408
22046,47.1240005493
22087,31.4159984588
22128,54.9780006408
22169,47.1240005493
22210,47.1240005493
22251,39.2700004577
22292,54.9780006408
22333,47.1240005493
22374,54.9780006408
22415,54.9780006408
22456,62.8319969177
22497,54.9780006408
22538,54.9780006408
22579,39.2700004577
22620,47.1240005493
22661,62.8319969177
22702,54.9780006408
22743,47.1240005493
22784,47.1240005493
22825,39.2700004577
22867,54.9780006408
22908,31.4159984588
22949,47.1240005493
22990,39.2700004577
23031,47.1240005493
23072,47.1240005493
23113,54.9780006408
23154,54.9780006408
23195,62.8319969177
23236,47.1240005493
23277,62.8319969177
23318,62.8319969177
23359,23.5620002746
23400,54.9780006408
23441,47.1240005493
23482,54.9780006408
23523,54.9780006408
23564,62.8319969177
23605,47.1240005493
23646,47.1240005493
23687,39.2700004577
23728,39.2700004577
23769,39.2700004577
23810,39.2700004577
23851,54.9780006408
23892,62.8319969177
23934,54.9780006408
23976,47.1240005493
24017,54.9780006408
24058,47.1240005493
24099,47.1240005493
24140,31.4159984588
24181,47.1240005493
24222,54.9780006408
24263,47.1240005493
24304,47.1240005493
24345,47.1240005493
24386,31.4159984588
24427,47.1240005493
24468,54.9780006408
24509,23.5620002746
24550,54.9780006408
24591,39.2700004577
24632,47.1240005493
24673,62.8319969177
24714,31.4159984588
24755,47.1240005493
24796,39.2700004577
24837,62.8319969177
24878,47.1240005493
24919,54.9780006408
24960,31.4159984588
25001,39.2700004577
25043,47.1240005493
25084,31.4159984588
25125,31.4159984588
25166,23.5620002746
25207,31.4159984588
25248,15.7079992294
25289,7.8539996147
25330,0.0000000000
25371,23.5620002746
